vz,vzPull,vy,vyPull,uncM,eleZ0,posZ0,projY,eleTrkTanLambda,posTrkTanLambda,signal
-0.30381,-1.96526493525,0.1103795,-0.700856261835,0.0921151,-0.47632087,-0.38971022,0.118249,-0.0261601,0.0308497,0
3.316227,-1.84222930906,-0.044807,-0.564570241212,0.0905533,0.23906287,0.2646787,0.0608187,-0.0367334,0.0470052,0
-0.2612,1.74706410946,-0.0124202,2.31985593804,0.104398,0.03043393,0.14081727,0.1573633,0.0273498,0.0446512,0
0.463,-2.03949603605,0.0077489,-1.0861490444,0.0954981,-0.33236272,0.19029197,0.0557754,-0.0527531,0.0609711,0
6.38498,-0.0397702998538,-0.080284,1.18102256016,0.0971652,0.24997627,0.2263911,0.0356109,-0.0467522,-0.0612136,0
-1.54868,0.877200863851,0.0309603,-0.161973428252,0.0933199,0.52681197,-0.50427433,-0.07093,-0.0353411,-0.0396253,0
-4.24013,0.243103839052,-0.031924,0.435570974611,0.101181,-0.16556008,-0.3799891,-0.0157544,-0.0327233,0.0267178,0
0.61756,0.264806565511,0.0050637,-0.0205159067697,0.0931525,0.27293363,0.11153387,-0.023489,0.0306605,0.0339475,0
-0.60937,1.15901897275,-0.0157151,1.2177854505,0.107907,-0.16911785,0.49050331,-0.027885,0.0363691,-0.0447871,0
0.86478,-2.14142406243,0.0017562,-1.35845749491,0.101382,0.34533331,0.42033033,-0.073107,-0.059489,0.0643757,0
-1.49202,-0.489821686578,-0.191756,-1.76864811375,0.0912367,-0.33362721,0.25763827,-0.068243,0.0329867,0.0318177,0
-1.49113,0.271734777576,0.036903,1.92017831403,0.10358,0.40722389,0.39589897,-0.0083487,0.0398017,-0.028966,0
-0.42325,-0.669972242483,-0.0147962,-0.885195221899,0.101815,0.2263834,-0.38694551,0.0427507,0.024662,0.0533676,0
1.34758,-1.5494323858,0.0031203,-0.296065082496,0.0967323,-0.204958,-0.93983054,-0.084977,0.0315447,0.0475837,0
1.01499,0.686843370132,-0.1321,-0.4764931491,0.0951184,0.25434303,0.36894157,0.1360791,0.0541115,0.0304993,0
0.52934,0.992115485253,0.0385409,-0.379669312058,0.100076,-0.3366068,-0.45921187,0.0543986,-0.0356109,0.038031,0
0.55294,-0.7333327576,-0.09114,-0.268339351601,0.106421,-0.26748387,-0.67320093,0.0454111,0.0228198,-0.0607743,0
-0.34577,-1.00071032671,0.0556085,-0.19033974876,0.0937365,0.18867459,-0.50792747,-0.0008161,-0.043221,0.0498091,0
2.44153,-1.18029794124,-0.076698,0.881271236455,0.103966,-0.42608252,-0.41508566,0.0477131,0.0713672,-0.0432184,0
-1.30047,0.333109740768,-0.024199,0.548700572205,0.0918794,0.1487057,0.5357169,0.0562222,-0.0397153,-0.0274009,0
2.37182,0.71569689569,0.1129049,-0.559520688645,0.0931808,0.29361437,0.29536848,0.0351449,-0.0537645,0.0208545,0
1.35009,-0.95466417539,-0.082284,0.818107122566,0.0964538,0.21219223,0.11229224,-0.098369,0.0288015,-0.0331562,0
-0.73127,0.412592024622,0.004515,-1.16463848154,0.0921038,0.30063241,0.42076879,-0.041915,0.0333013,-0.0300488,0
-1.71154,2.33043503047,0.08945265,-1.26201634258,0.0950824,-0.6175275,0.41760169,0.0680429,-0.0549171,0.0335438,0
0.41377,0.926640145735,-0.045038,2.13263329481,0.0933828,-0.81895535,-0.73217068,-0.09555,0.056124,-0.0280359,0
0.43983,0.60570164003,-0.116634,-1.1606386446,0.107938,-0.32735316,0.14878401,0.0522116,0.0660113,-0.0620861,0
-0.63881,0.360561883367,-0.0032674,-0.998015498571,0.107672,-0.45744763,-0.47604088,0.1397363,0.0351968,-0.0348933,0
1.88794,1.4301374186,0.0130005,-0.38292986267,0.098206,0.26305391,0.30577478,0.0410164,-0.0339778,0.0341071,0
0.11251,-0.449144690959,0.0486985,-1.47189987116,0.091669,0.162811,0.16868907,-0.0156537,0.0339395,0.0315377,0
3.411367,-0.327510354584,-0.029066,-0.668396139052,0.0963025,0.11000198,-0.62126147,-0.078564,0.0310405,0.034831,0
-1.08566,-0.740038181168,-0.048004,0.393240336158,0.0900797,0.27974738,-0.28144548,0.0919492,0.0476498,0.0427938,0
-2.06476,-1.34493275718,0.0331516,0.182592240708,0.107197,-0.48996301,0.27395307,0.0391555,-0.0205481,-0.0259538,0
-1.36411,3.50537364667,-0.024232,0.538802718331,0.0999289,-0.60841076,-0.43161455,0.004285,-0.0408894,0.0368498,0
4.355035,1.10050144283,0.0079181,-0.566393715559,0.0972058,0.15664481,-0.13975205,-0.0011747,0.0597221,0.0532908,0
0.20118,2.82722811338,-0.0042294,1.26264141758,0.107313,-0.39657577,-0.7029894,0.1359281,0.0228627,0.0310349,0
1.40864,1.8832895903,-0.035473,-1.68240611197,0.0961317,0.24669773,-0.34907328,-0.121459,0.0413296,0.0348121,0
0.31648,1.3815566754,-0.036173,0.735989966859,0.0974301,0.36974231,0.43836453,0.0078093,0.0309305,-0.0306127,0
1.75422,0.160599082412,0.0058501,-0.226188207789,0.0913547,0.54845621,0.29021122,-0.013541,-0.0272285,-0.0294757,0
-1.65543,0.182361425713,0.0695388,0.340210451779,0.0958488,-0.26056986,0.13842308,-0.030024,0.0318337,-0.0239967,0
-0.26072,-1.12652892808,0.0045117,0.214437606269,0.107175,-0.38092312,-0.28802326,0.0648178,0.0500161,0.0309282,0
-0.56664,0.186640543136,-0.1325,-0.047883332178,0.091487,0.20498754,-0.49960313,-0.052978,0.0525197,-0.0556878,0
-2.05877,-1.11571218188,-0.0098036,0.898001461715,0.0994988,0.20545341,-0.40809866,0.09121,-0.049082,-0.0437842,0
2.37879,-0.118351130656,-0.036673,-2.65403669116,0.100862,-0.61506714,0.13624535,-0.066027,-0.0498658,0.0407529,0
-0.15024,-1.00937571094,0.0655844,1.03650800631,0.100948,-0.36972558,-0.21592132,0.1144001,0.0477174,0.0242957,0
-0.32642,0.457542837696,0.0545477,-1.22288608205,0.106239,-0.46059424,0.13760492,0.111427,0.0390694,0.0342843,0
-0.49477,-0.72823350648,0.0223127,1.04728833235,0.104462,-0.40161517,-0.26430492,-0.098411,0.031417,0.0495843,0
0.8422,1.32922671376,-0.182145,-0.623427923984,0.0914093,0.23860537,-0.32050838,0.1193038,-0.0377414,-0.0445267,0
-1.7117,0.102023838816,0.1779462,-1.41345665302,0.0901051,0.61559702,-0.35644443,0.0486873,-0.0203256,-0.0461788,0
1.10652,-0.48421379488,-0.050767,-0.111981445484,0.101471,0.44252659,0.15526205,-0.052538,-0.0337928,-0.0440215,0
1.85861,0.280344138077,0.03906,0.957683950476,0.0969427,0.31620839,0.26401363,0.0499194,-0.0416482,-0.0384147,0
1.84438,-1.78001498458,0.0571338,-1.19971704954,0.0930158,-0.40806361,-0.49474059,-0.039987,0.0289747,0.0519813,0
2.04662,-1.69408495861,-0.030408,-0.64182997578,0.108723,0.19778428,0.55586781,0.1049939,0.0347962,-0.0382914,0
-0.26037,-0.196692467495,-0.0009015,0.2701753353,0.0915252,-0.39357358,-0.48568691,0.0692718,-0.0551442,-0.0279687,0
-0.25479,-0.593810252708,-0.0093293,-0.957542955137,0.0956557,0.16897992,0.29003768,-0.032738,-0.0264691,0.0548074,0
1.32136,-1.22032986725,0.0026539,-0.00227370972075,0.096205,0.2828163,-0.25473819,-0.083645,0.0297231,-0.0685271,0
-0.25044,-0.214853869782,-0.02865,-0.120416845367,0.108075,-0.45445982,-0.1148368,-0.122272,-0.0422456,0.0372919,0
-6.8617,-0.666315245646,-0.013005,-1.10956286639,0.0904546,-0.41658196,0.03087056,0.065388,-0.0496267,0.0261215,0
2.15111,0.945835274971,-0.117254,-0.932105350516,0.0967413,0.23405382,0.15815932,0.08402178,-0.0414781,0.0517273,0
-1.59146,-1.77749145831,0.0519795,0.541729919639,0.107886,-0.50058274,-0.54269281,0.0406413,-0.060111,0.034824,0
0.5943,2.98750761287,0.0031547,0.719139235955,0.0944618,-0.48544932,0.29573392,0.0663093,0.0512793,0.0497645,0
-0.54702,-0.611538412404,-0.063603,-0.656358584093,0.0938111,0.2351464,0.17335911,-0.069448,-0.0363207,-0.0229553,0
2.07126,1.78785752244,0.0011505,-1.47423138995,0.108898,-0.36652872,-0.53201757,-0.095429,-0.0617821,0.0289654,0
